indicator,country,occupation,year,value
percent women,ES,9,2022,56.9%
total employment,FI,9,2022,"193,400"
percent women,FI,9,2022,57.9%
total employment,FR,9,2022,"2,410,300"
percent women,FR,9,2022,60.5%
total employment,HR,9,2022,"137,100"
percent women,HR,9,2022,53.2%
total employment,HU,9,2022,"421,400"
percent women,HU,9,2022,52.8%
total employment,IE,9,2022,"183,600"
percent women,IE,9,2022,41.3%
total employment,IT,9,2022,"2,498,800"
percent women,IT,9,2022,44.4%
total employment,LT,9,2022,"145,200"
percent women,LT,9,2022,53.1%
total employment,LU,9,2022,"24,600"
percent women,LU,9,2022,69.3%
total employment,LV,9,2022,"107,800"
percent women,LV,9,2022,53.5%
total employment,MT,9,2022,"24,000"
percent women,MT,9,2022,39.1%
total employment,NL,9,2022,"753,200"
percent women,NL,9,2022,47.8%
total employment,PL,9,2022,"843,000"
percent women,PL,9,2022,66.6%
total employment,PT,9,2022,"420,900"
percent women,PT,9,2022,67.8%
total employment,RO,9,2022,"764,900"
percent women,RO,9,2022,38.3%
total employment,SE,9,2022,"228,400"
percent women,SE,9,2022,48.3%
total employment,SI,9,2022,"91,200"
percent women,SI,9,2022,54.5%
total employment,SK,9,2022,"147,600"
percent women,SK,9,2022,56.2%
total employment,EU,9.92,2022,"1,564,500"
percent women,EU,9.92,2022,28.5%
percent unemployed,EU,9.92,2022,9.8%
relative income,EU,9.92,2020,72.2%
total employment,AT,9.92,2022,"6,800"
total employment,BE,9.92,2022,"24,100"
percent women,BE,9.92,2022,17.6%
total employment,BG,9.92,2022,"44,800"
percent women,BG,9.92,2022,40.4%
total employment,CY,9.92,2022,"3,700"
percent women,CY,9.92,2022,18.8%
total employment,CZ,9.92,2022,"15,100"
percent women,CZ,9.92,2022,46.3%
total employment,DE,9.92,2022,"145,100"
percent women,DE,9.92,2022,25.1%
total employment,DK,9.92,2022,"22,600"
percent women,DK,9.92,2022,38.8%
total employment,EE,9.92,2022,"2,600"
percent women,EE,9.92,2022,45.5%
total employment,EL,9.92,2022,"39,200"
percent women,EL,9.92,2022,33.7%
total employment,ES,9.92,2022,"355,600"
percent women,ES,9.92,2022,20%
total employment,FI,9.92,2022,"7,900"
total employment,FR,9.92,2022,"139,500"
percent women,FR,9.92,2022,17%
total employment,HR,9.92,2022,"26,100"
percent women,HR,9.92,2022,44.4%
total employment,HU,9.92,2022,"57,800"
percent women,HU,9.92,2022,43.4%
total employment,IE,9.92,2022,"13,500"
total employment,IT,9.92,2022,"367,500"
percent women,IT,9.92,2022,25.3%
total employment,LT,9.92,2022,"13,800"
percent women,LT,9.92,2022,47.2%
total employment,LU,9.92,2022,"1,000"
total employment,LV,9.92,2022,"11,700"
total employment,NL,9.92,2022,"34,700"
percent women,NL,9.92,2022,36.7%
total employment,PL,9.92,2022,"46,700"
percent women,PL,9.92,2022,36.8%
total employment,PT,9.92,2022,"15,900"
percent women,PT,9.92,2022,47.6%
total employment,RO,9.92,2022,"147,500"
percent women,RO,9.92,2022,46%
total employment,SE,9.92,2022,"3,800"
total employment,SI,9.92,2022,"9,900"
percent women,SI,9.92,2022,52.6%
total employment,SK,9.92,2022,"7,800"
total employment,EU,9.91,2022,"6,820,400"
percent women,EU,9.91,2022,84.8%
percent unemployed,EU,9.91,2022,5.5%
relative income,EU,9.91,2020,92.4%
total employment,AT,9.91,2022,"140,300"
percent women,AT,9.91,2022,90.7%
total employment,BE,9.91,2022,"276,000"
percent women,BE,9.91,2022,83.8%
total employment,BG,9.91,2022,"65,800"
percent women,BG,9.91,2022,85.8%
total employment,CY,9.91,2022,"32,800"
percent women,CY,9.91,2022,88.3%
total employment,CZ,9.91,2022,"94,500"
percent women,CZ,9.91,2022,92.7%
total employment,DE,9.91,2022,"1,272,600"
percent women,DE,9.91,2022,82.4%
total employment,DK,9.91,2022,"71,000"
percent women,DK,9.91,2022,68.2%
total employment,EE,9.91,2022,"17,600"
percent women,EE,9.91,2022,89.9%
total employment,EL,9.91,2022,"95,700"
percent women,EL,9.91,2022,90.1%
total employment,ES,9.91,2022,"1,137,800"
percent women,ES,9.91,2022,89.6%
total employment,FI,9.91,2022,"79,100"
percent women,FI,9.91,2022,86.4%
total employment,FR,9.91,2022,"1,160,300"
percent women,FR,9.91,2022,84.7%
total employment,HR,9.91,2022,"50,000"
percent women,HR,9.91,2022,92.3%
total employment,HU,9.91,2022,"112,900"
percent women,HU,9.91,2022,90.3%
total employment,IE,9.91,2022,"44,900"
percent women,IE,9.91,2022,74.3%
total employment,IT,9.91,2022,"999,100"
percent women,IT,9.91,2022,79.9%
total employment,LT,9.91,2022,"41,900"
percent women,LT,9.91,2022,88.3%
total employment,LU,9.91,2022,"15,400"
percent women,LU,9.91,2022,93.7%
total employment,LV,9.91,2022,"22,400"
percent women,LV,9.91,2022,96.8%
total employment,NL,9.91,2022,"236,700"
percent women,NL,9.91,2022,77.4%
total employment,PL,9.91,2022,"359,700"
percent women,PL,9.91,2022,89.9%
total employment,PT,9.91,2022,"203,500"
percent women,PT,9.91,2022,93.7%
total employment,RO,9.91,2022,"130,200"
percent women,RO,9.91,2022,83.4%
total employment,SE,9.91,2022,"88,500"
percent women,SE,9.91,2022,62.9%
total employment,SI,9.91,2022,"22,100"
percent women,SI,9.91,2022,90.7%
total employment,SK,9.91,2022,"49,500"
percent women,SK,9.91,2022,95.2%
total employment,EU,9.94,2022,"1,452,100"
percent women,EU,9.94,2022,65.9%
percent unemployed,EU,9.94,2022,7.5%
relative income,EU,9.94,2020,96.7%
total employment,AT,9.94,2022,"35,600"
percent women,AT,9.94,2022,71.6%
total employment,BE,9.94,2022,"37,700"
percent women,BE,9.94,2022,58%
total employment,BG,9.94,2022,"10,200"
percent women,BG,9.94,2022,75.3%
total employment,CY,9.94,2022,"5,900"
percent women,CY,9.94,2022,60.4%
total employment,CZ,9.94,2022,"17,600"
percent women,CZ,9.94,2022,85.5%
total employment,DE,9.94,2022,"330,900"
percent women,DE,9.94,2022,65.8%
total employment,DK,9.94,2022,"62,000"
percent women,DK,9.94,2022,61.9%
total employment,EE,9.94,2022,"3,400"
percent women,EE,9.94,2022,84.9%
total employment,EL,9.94,2022,"35,100"
percent women,EL,9.94,2022,69.1%
total employment,ES,9.94,2022,"175,700"
percent women,ES,9.94,2022,66.1%
total employment,FI,9.94,2022,"33,000"
percent women,FI,9.94,2022,66.1%
total employment,FR,9.94,2022,"224,500"
percent women,FR,9.94,2022,63.7%
total employment,HR,9.94,2022,"4,700"
percent women,HR,9.94,2022,83%
total employment,HU,9.94,2022,"46,500"
percent women,HU,9.94,2022,87.6%
total employment,IE,9.94,2022,"34,400"
percent women,IE,9.94,2022,65.3%
total employment,IT,9.94,2022,"93,000"
percent women,IT,9.94,2022,50.3%
total employment,LT,9.94,2022,"6,600"
percent women,LT,9.94,2022,94.1%
total employment,LU,9.94,2022,"2,100"
percent women,LU,9.94,2022,66.2%
total employment,NL,9.94,2022,"70,600"
percent women,NL,9.94,2022,42.8%
total employment,PL,9.94,2022,"71,200"
percent women,PL,9.94,2022,85%
total employment,PT,9.94,2022,"44,700"
percent women,PT,9.94,2022,88.8%
total employment,RO,9.94,2022,"13,400"
percent women,RO,9.94,2022,70.8%
total employment,SE,9.94,2022,"67,700"
percent women,SE,9.94,2022,51.5%
total employment,SI,9.94,2022,"8,300"
percent women,SI,9.94,2022,77.4%
total employment,SK,9.94,2022,"13,600"
percent women,SK,9.94,2022,91.3%
total employment,EU,9.96,2022,"1,950,900"
percent women,EU,9.96,2022,25.8%
percent unemployed,EU,9.96,2022,6.3%
relative income,EU,9.96,2020,94.6%
total employment,AT,9.96,2022,"21,800"
percent women,AT,9.96,2022,33.2%
total employment,BE,9.96,2022,"49,700"
percent women,BE,9.96,2022,7.4%
total employment,BG,9.96,2022,"122,500"
percent women,BG,9.96,2022,28.3%
total employment,CY,9.96,2022,"5,800"
percent women,CY,9.96,2022,15.6%
total employment,CZ,9.96,2022,"34,400"
percent women,CZ,9.96,2022,27.3%
total employment,DE,9.96,2022,"245,300"
percent women,DE,9.96,2022,37.6%
total employment,DK,9.96,2022,"34,300"
percent women,DK,9.96,2022,31.4%
total employment,EE,9.96,2022,"15,900"
percent women,EE,9.96,2022,33.1%
total employment,EL,9.96,2022,"41,500"
percent women,EL,9.96,2022,22.5%
total employment,ES,9.96,2022,"153,800"
percent women,ES,9.96,2022,31.6%
total employment,FI,9.96,2022,"9,900"
percent women,FI,9.96,2022,29.3%
total employment,FR,9.96,2022,"230,400"
percent women,FR,9.96,2022,29%
total employment,HR,9.96,2022,"16,400"
percent women,HR,9.96,2022,6.8%
total employment,HU,9.96,2022,"62,300"
percent women,HU,9.96,2022,43.4%
total employment,IE,9.96,2022,"26,700"
total employment,IT,9.96,2022,"456,400"
percent women,IT,9.96,2022,11.7%
total employment,LT,9.96,2022,"28,100"
percent women,LT,9.96,2022,35.6%
total employment,LU,9.96,2022,"2,000"
total employment,LV,9.96,2022,"24,500"
percent women,LV,9.96,2022,53.3%
total employment,NL,9.96,2022,"37,500"
percent women,NL,9.96,2022,36.1%
total employment,PL,9.96,2022,"104,000"
percent women,PL,9.96,2022,38.1%
total employment,PT,9.96,2022,"57,300"
percent women,PT,9.96,2022,19.4%
total employment,RO,9.96,2022,"124,200"
percent women,RO,9.96,2022,21.1%
total employment,SE,9.96,2022,"19,400"
percent women,SE,9.96,2022,23.6%
total employment,SI,9.96,2022,"13,900"
percent women,SI,9.96,2022,24.5%
total employment,SK,9.96,2022,"12,900"
total employment,EU,9.95,2022,"117,900"
percent women,EU,9.95,2022,21.9%
relative income,EU,9.95,2020,89.1%
total employment,BG,9.95,2022,"5,500"
total employment,CY,9.95,2022,500
total employment,ES,9.95,2022,"6,500"
total employment,FI,9.95,2022,"2,200"
percent women,FI,9.95,2022,93.6%
total employment,IT,9.95,2022,"84,700"
percent women,IT,9.95,2022,18.7%
total employment,PT,9.95,2022,"8,000"
percent women,PT,9.95,2022,43.8%
total employment,EU,9.93,2022,"5,445,500"
percent women,EU,9.93,2022,29.2%
percent unemployed,EU,9.93,2022,6.4%
relative income,EU,9.93,2020,118.8%
total employment,AT,9.93,2022,"148,600"
percent women,AT,9.93,2022,30.5%
total employment,BE,9.93,2022,"106,600"
percent women,BE,9.93,2022,24.7%
total employment,BG,9.93,2022,"149,200"
percent women,BG,9.93,2022,20.5%
total employment,CY,9.93,2022,"11,800"
percent women,CY,9.93,2022,26.1%
total employment,CZ,9.93,2022,"133,800"
percent women,CZ,9.93,2022,42.1%
total employment,DE,9.93,2022,"1,210,200"
percent women,DE,9.93,2022,29.9%
total employment,DK,9.93,2022,"124,600"
percent women,DK,9.93,2022,25.1%
total employment,EE,9.93,2022,"14,900"
percent women,EE,9.93,2022,44%
total employment,EL,9.93,2022,"74,400"
percent women,EL,9.93,2022,23.4%
total employment,ES,9.93,2022,"695,000"
percent women,ES,9.93,2022,25.7%
total employment,FI,9.93,2022,"61,400"
percent women,FI,9.93,2022,24.3%
total employment,FR,9.93,2022,"651,400"
percent women,FR,9.93,2022,36.8%
total employment,HR,9.93,2022,"39,000"
percent women,HR,9.93,2022,26%
total employment,HU,9.93,2022,"141,300"
percent women,HU,9.93,2022,19.6%
total employment,IE,9.93,2022,"63,300"
percent women,IE,9.93,2022,18%
total employment,IT,9.93,2022,"498,200"
percent women,IT,9.93,2022,20.4%
total employment,LT,9.93,2022,"54,700"
percent women,LT,9.93,2022,31.7%
total employment,LU,9.93,2022,"4,100"
total employment,LV,9.93,2022,"45,300"
percent women,LV,9.93,2022,31.8%
total employment,NL,9.93,2022,"373,500"
percent women,NL,9.93,2022,32.2%
total employment,PL,9.93,2022,"258,200"
percent women,PL,9.93,2022,45.8%
total employment,PT,9.93,2022,"91,500"
percent women,PT,9.93,2022,35.8%
total employment,RO,9.93,2022,"347,300"
percent women,RO,9.93,2022,23.3%
total employment,SE,9.93,2022,"48,800"
percent women,SE,9.93,2022,26.6%
total employment,SI,9.93,2022,"36,900"
percent women,SI,9.93,2022,39.5%
total employment,SK,9.93,2022,"61,500"
percent women,SK,9.93,2022,28.8%
total employment,EU,6,2022,"6,008,900"
percent women,EU,6,2022,29%
percent unemployed,EU,6,2022,1.5%
relative income,EU,6,2020,100%
total employment,AT,6,2022,"148,800"
percent women,AT,6,2022,39.5%
total employment,BE,6,2022,"55,100"
percent women,BE,6,2022,14.8%
total employment,BG,6,2022,"109,100"
percent women,BG,6,2022,33.8%
total employment,CY,6,2022,"7,000"
percent women,CY,6,2022,12.9%
total employment,CZ,6,2022,"61,300"
percent women,CZ,6,2022,32.5%
total employment,DE,6,2022,"566,600"
percent women,DE,6,2022,23%
total employment,DK,6,2022,"46,800"
percent women,DK,6,2022,17.2%
total employment,EE,6,2022,"7,700"
percent women,EE,6,2022,31.2%
total employment,EL,6,2022,"467,600"
percent women,EL,6,2022,37.2%
total employment,ES,6,2022,"463,200"
percent women,ES,6,2022,19.8%
total employment,FI,6,2022,"75,400"
percent women,FI,6,2022,33.2%
total employment,FR,6,2022,"808,000"
percent women,FR,6,2022,24.2%
total employment,HR,6,2022,"62,200"
percent women,HR,6,2022,26%
total employment,HU,6,2022,"121,200"
percent women,HU,6,2022,27.1%
total employment,IE,6,2022,"80,600"
percent women,IE,6,2022,9.3%
total employment,IT,6,2022,"546,700"
percent women,IT,6,2022,20.3%
total employment,LT,6,2022,"45,900"
percent women,LT,6,2022,38.2%
total employment,LU,6,2022,"4,700"
percent women,LU,6,2022,19.3%
total employment,LV,6,2022,"24,200"
percent women,LV,6,2022,40.2%
total employment,MT,6,2022,"2,100"
total employment,NL,6,2022,"125,400"
percent women,NL,6,2022,20%
total employment,PL,6,2022,"1,288,800"
percent women,PL,6,2022,38.6%
total employment,PT,6,2022,"120,100"
percent women,PT,6,2022,27%
total employment,RO,6,2022,"623,100"
percent women,RO,6,2022,32.9%
total employment,SE,6,2022,"89,800"
percent women,SE,6,2022,25.6%
total employment,SI,6,2022,"31,700"
percent women,SI,6,2022,34.6%
total employment,SK,6,2022,"25,700"
total employment,EU,6.61,2022,"5,672,400"
percent women,EU,6.61,2022,30.3%
percent unemployed,EU,6.61,2022,1.4%
relative income,EU,6.61,2020,101.5%
total employment,AT,6.61,2022,"144,000"
percent women,AT,6.61,2022,40.7%
total employment,BE,6.61,2022,"52,300"
percent women,BE,6.61,2022,15.6%
total employment,BG,6.61,2022,"93,100"
percent women,BG,6.61,2022,38.1%
total employment,CY,6.61,2022,"6,900"
percent women,CY,6.61,2022,13.1%
total employment,CZ,6.61,2022,"43,400"
percent women,CZ,6.61,2022,42.5%
total employment,DE,6.61,2022,"536,300"
percent women,DE,6.61,2022,23.7%
total employment,DK,6.61,2022,"44,100"
percent women,DK,6.61,2022,18.2%
total employment,EE,6.61,2022,"5,200"
percent women,EE,6.61,2022,42.2%
total employment,EL,6.61,2022,"452,200"
percent women,EL,6.61,2022,38.1%
total employment,ES,6.61,2022,"429,400"
percent women,ES,6.61,2022,20.3%
total employment,FI,6.61,2022,"64,400"
percent women,FI,6.61,2022,36.2%
total employment,FR,6.61,2022,"759,100"
percent women,FR,6.61,2022,25%
total employment,HR,6.61,2022,"55,100"
percent women,HR,6.61,2022,28.9%
total employment,HU,6.61,2022,"107,900"
percent women,HU,6.61,2022,30.3%
total employment,IE,6.61,2022,"77,500"
percent women,IE,6.61,2022,9.6%
total employment,IT,6.61,2022,"525,000"
percent women,IT,6.61,2022,21%
total employment,LT,6.61,2022,"41,400"
percent women,LT,6.61,2022,38.7%
total employment,LU,6.61,2022,"4,400"
percent women,LU,6.61,2022,20.5%
total employment,LV,6.61,2022,"15,200"
percent women,LV,6.61,2022,54.2%
total employment,NL,6.61,2022,"124,100"
percent women,NL,6.61,2022,20.1%
total employment,PL,6.61,2022,"1,270,300"
percent women,PL,6.61,2022,39.1%
total employment,PT,6.61,2022,"97,900"
percent women,PT,6.61,2022,31.2%
total employment,RO,6.61,2022,"610,600"
percent women,RO,6.61,2022,33.6%
total employment,SE,6.61,2022,"69,600"
percent women,SE,6.61,2022,31.8%
total employment,SI,6.61,2022,"30,200"
percent women,SI,6.61,2022,36.1%
total employment,SK,6.61,2022,"13,000"
total employment,EU,6.62,2022,"315,000"
percent women,EU,6.62,2022,8%
relative income,EU,6.62,2020,82.2%
total employment,BG,6.62,2022,"15,300"
total employment,CZ,6.62,2022,"13,900"
total employment,DE,6.62,2022,"30,300"
total employment,DK,6.62,2022,"2,700"
total employment,EE,6.62,2022,"2,500"
total employment,EL,6.62,2022,"14,100"
total employment,ES,6.62,2022,"33,800"
percent women,ES,6.62,2022,12.9%
total employment,FI,6.62,2022,"11,000"
total employment,FR,6.62,2022,"48,900"
total employment,HR,6.62,2022,"6,900"
total employment,HU,6.62,2022,"13,300"
total employment,IT,6.62,2022,"21,800"
total employment,LT,6.62,2022,"3,400"
total employment,LV,6.62,2022,"5,300"
total employment,PL,6.62,2022,"13,300"
total employment,PT,6.62,2022,"22,200"
total employment,RO,6.62,2022,"12,300"
total employment,SE,6.62,2022,"20,200"
total employment,SK,6.62,2022,"10,600"
total employment,EU,1,2022,"10,343,500"
percent women,EU,1,2022,34.9%
percent unemployed,EU,1,2022,1.4%
relative income,EU,1,2020,100%
total employment,AT,1,2022,"228,800"
percent women,AT,1,2022,33.4%
total employment,BE,1,2022,"347,400"
percent women,BE,1,2022,36.5%
total employment,BG,1,2022,"147,700"
percent women,BG,1,2022,39.8%
total employment,CY,1,2022,"17,100"
percent women,CY,1,2022,23.1%
total employment,CZ,1,2022,"260,400"
percent women,CZ,1,2022,26.3%
total employment,DE,1,2022,"1,752,800"
percent women,DE,1,2022,28.6%
total employment,DK,1,2022,"82,100"
percent women,DK,1,2022,29.3%
total employment,EE,1,2022,"52,200"
percent women,EE,1,2022,40.1%
total employment,EL,1,2022,"125,200"
percent women,EL,1,2022,32.3%
total employment,ES,1,2022,"863,100"
percent women,ES,1,2022,34.9%
total employment,FI,1,2022,"43,700"
percent women,FI,1,2022,36%
total employment,FR,1,2022,"2,045,800"
percent women,FR,1,2022,38.9%
total employment,HR,1,2022,"72,700"
percent women,HR,1,2022,21.6%
total employment,HU,1,2022,"206,700"
percent women,HU,1,2022,37.5%
total employment,IE,1,2022,"242,300"
percent women,IE,1,2022,38%
total employment,IT,1,2022,"867,100"
percent women,IT,1,2022,27.9%
total employment,LT,1,2022,"132,700"
percent women,LT,1,2022,38.5%
total employment,LU,1,2022,"14,000"
percent women,LU,1,2022,26.6%
total employment,LV,1,2022,"86,100"
percent women,LV,1,2022,45.2%
total employment,MT,1,2022,"33,100"
percent women,MT,1,2022,34.6%
total employment,NL,1,2022,"542,400"
percent women,NL,1,2022,28.5%
total employment,PL,1,2022,"1,109,800"
percent women,PL,1,2022,42.9%
total employment,PT,1,2022,"301,400"
percent women,PT,1,2022,39.4%
total employment,RO,1,2022,"237,600"
percent women,RO,1,2022,33%
total employment,SE,1,2022,"341,300"
percent women,SE,1,2022,41.7%
total employment,SI,1,2022,"41,700"
percent women,SI,1,2022,34.8%
total employment,SK,1,2022,"148,000"
percent women,SK,1,2022,38%
total employment,EU,1.12,2022,"2,696,400"
percent women,EU,1.12,2022,42.3%
percent unemployed,EU,1.12,2022,1.5%
relative income,EU,1.12,2020,116.3%
total employment,AT,1.12,2022,"82,000"
percent women,AT,1.12,2022,34.8%
total employment,BE,1.12,2022,"122,000"
percent women,BE,1.12,2022,45.2%
total employment,BG,1.12,2022,"40,100"
percent women,BG,1.12,2022,48.2%
total employment,CY,1.12,2022,"4,600"
percent women,CY,1.12,2022,24.1%
total employment,CZ,1.12,2022,"96,600"
percent women,CZ,1.12,2022,25.8%
total employment,DE,1.12,2022,"448,200"
percent women,DE,1.12,2022,30%
total employment,DK,1.12,2022,"24,900"
percent women,DK,1.12,2022,33.4%
total employment,EE,1.12,2022,"6,500"
percent women,EE,1.12,2022,64.1%
total employment,EL,1.12,2022,"30,400"
percent women,EL,1.12,2022,30.9%
total employment,ES,1.12,2022,"238,900"
percent women,ES,1.12,2022,37.7%
total employment,FI,1.12,2022,"13,400"
percent women,FI,1.12,2022,39.4%
total employment,FR,1.12,2022,"642,100"
percent women,FR,1.12,2022,52.6%
total employment,HR,1.12,2022,"14,900"
percent women,HR,1.12,2022,35.5%
total employment,HU,1.12,2022,"39,400"
percent women,HU,1.12,2022,51.2%
total employment,IE,1.12,2022,"46,600"
percent women,IE,1.12,2022,32.3%
total employment,IT,1.12,2022,"42,900"
percent women,IT,1.12,2022,29.7%
total employment,LT,1.12,2022,"50,000"
percent women,LT,1.12,2022,46.7%
total employment,LU,1.12,2022,"6,500"
percent women,LU,1.12,2022,26.2%
total employment,LV,1.12,2022,"23,700"
percent women,LV,1.12,2022,67.3%
total employment,NL,1.12,2022,"155,900"
percent women,NL,1.12,2022,33.4%
total employment,PL,1.12,2022,"300,400"
percent women,PL,1.12,2022,52.3%
total employment,PT,1.12,2022,"57,000"
percent women,PT,1.12,2022,54.4%
total employment,RO,1.12,2022,"40,200"
percent women,RO,1.12,2022,37.1%
total employment,SE,1.12,2022,"127,300"
percent women,SE,1.12,2022,43.2%
total employment,SI,1.12,2022,"13,800"
percent women,SI,1.12,2022,40.9%
total employment,SK,1.12,2022,"28,100"
percent women,SK,1.12,2022,38.1%
total employment,EU,1.11,2022,"1,660,000"
percent women,EU,1.11,2022,28.1%
relative income,EU,1.11,2020,120.5%
total employment,AT,1.11,2022,"34,000"
percent women,AT,1.11,2022,25.3%
total employment,BE,1.11,2022,"91,300"
percent women,BE,1.11,2022,27.8%
total employment,BG,1.11,2022,"11,100"
total employment,CY,1.11,2022,"2,000"
total employment,CZ,1.11,2022,"40,800"
percent women,CZ,1.11,2022,21.6%
total employment,DE,1.11,2022,"572,200"
percent women,DE,1.11,2022,22.3%
total employment,DK,1.11,2022,"14,800"
percent women,DK,1.11,2022,23.3%
total employment,EE,1.11,2022,"1,400"
total employment,EL,1.11,2022,"8,000"
percent women,EL,1.11,2022,49.5%
total employment,ES,1.11,2022,"49,000"
percent women,ES,1.11,2022,44.7%
total employment,FI,1.11,2022,"10,600"
percent women,FI,1.11,2022,40%
total employment,FR,1.11,2022,"222,000"
percent women,FR,1.11,2022,25.5%
total employment,HR,1.11,2022,"5,200"
percent women,HR,1.11,2022,27.4%
total employment,HU,1.11,2022,"8,800"
percent women,HU,1.11,2022,40.2%
total employment,IT,1.11,2022,"80,500"
percent women,IT,1.11,2022,27.8%
total employment,LT,1.11,2022,"40,100"
percent women,LT,1.11,2022,32%
total employment,LU,1.11,2022,"3,400"
percent women,LU,1.11,2022,21.4%
total employment,LV,1.11,2022,"34,300"
percent women,LV,1.11,2022,32.6%
total employment,NL,1.11,2022,"58,100"
percent women,NL,1.11,2022,29.1%
total employment,PL,1.11,2022,"198,100"
percent women,PL,1.11,2022,35.1%
total employment,PT,1.11,2022,"34,000"
percent women,PT,1.11,2022,24.7%
total employment,RO,1.11,2022,"93,200"
percent women,RO,1.11,2022,41.3%
total employment,SE,1.11,2022,"22,300"
percent women,SE,1.11,2022,38%
total employment,SI,1.11,2022,"5,700"
percent women,SI,1.11,2022,45.1%
total employment,SK,1.11,2022,"12,500"
total employment,EU,1.14,2022,"2,549,800"
percent women,EU,1.14,2022,38.3%
percent unemployed,EU,1.14,2022,1.9%
relative income,EU,1.14,2020,65.7%
total employment,AT,1.14,2022,"38,200"
percent women,AT,1.14,2022,42.9%
total employment,BE,1.14,2022,"55,900"
percent women,BE,1.14,2022,43%
total employment,BG,1.14,2022,"51,000"
percent women,BG,1.14,2022,38.8%
total employment,CY,1.14,2022,"2,800"
total employment,CZ,1.14,2022,"32,400"
percent women,CZ,1.14,2022,27.4%
total employment,DE,1.14,2022,"231,200"
percent women,DE,1.14,2022,42.6%
total employment,DK,1.14,2022,"15,100"
percent women,DK,1.14,2022,20.8%
total employment,EE,1.14,2022,"13,900"
percent women,EE,1.14,2022,45.3%
total employment,EL,1.14,2022,"43,900"
percent women,EL,1.14,2022,30.7%
total employment,ES,1.14,2022,"313,300"
