indicator,country,occupation,year,value
percent women,ES,1.14,2022,33%
total employment,FI,1.14,2022,"6,400"
total employment,FR,1.14,2022,"512,000"
percent women,FR,1.14,2022,38.6%
total employment,HR,1.14,2022,"20,400"
percent women,HR,1.14,2022,16.3%
total employment,HU,1.14,2022,"49,700"
percent women,HU,1.14,2022,39.1%
total employment,IE,1.14,2022,"95,100"
percent women,IE,1.14,2022,42.5%
total employment,IT,1.14,2022,"428,900"
percent women,IT,1.14,2022,32.7%
total employment,LT,1.14,2022,"10,200"
percent women,LT,1.14,2022,57%
total employment,LU,1.14,2022,"2,000"
percent women,LU,1.14,2022,27.4%
total employment,LV,1.14,2022,"5,500"
total employment,NL,1.14,2022,"99,600"
percent women,NL,1.14,2022,27.4%
total employment,PL,1.14,2022,"299,100"
percent women,PL,1.14,2022,51.3%
total employment,PT,1.14,2022,"100,300"
percent women,PT,1.14,2022,41.6%
total employment,RO,1.14,2022,"40,800"
percent women,RO,1.14,2022,35.6%
total employment,SE,1.14,2022,"33,800"
percent women,SE,1.14,2022,36.9%
total employment,SI,1.14,2022,"5,300"
percent women,SI,1.14,2022,46%
total employment,SK,1.14,2022,"42,900"
percent women,SK,1.14,2022,44%
total employment,EU,1.13,2022,"3,388,300"
percent women,EU,1.13,2022,29.8%
percent unemployed,EU,1.13,2022,1%
relative income,EU,1.13,2020,102.7%
total employment,AT,1.13,2022,"74,700"
percent women,AT,1.13,2022,30.7%
total employment,BE,1.13,2022,"78,200"
percent women,BE,1.13,2022,28.5%
total employment,BG,1.13,2022,"45,500"
percent women,BG,1.13,2022,34.8%
total employment,CY,1.13,2022,"7,600"
percent women,CY,1.13,2022,31.1%
total employment,CZ,1.13,2022,"90,600"
percent women,CZ,1.13,2022,28.4%
total employment,DE,1.13,2022,"501,100"
percent women,DE,1.13,2022,28.3%
total employment,DK,1.13,2022,"27,300"
percent women,DK,1.13,2022,33.4%
total employment,EE,1.13,2022,"30,500"
percent women,EE,1.13,2022,33.1%
total employment,EL,1.13,2022,"42,800"
percent women,EL,1.13,2022,31.6%
total employment,ES,1.13,2022,"262,000"
percent women,ES,1.13,2022,32.6%
total employment,FI,1.13,2022,"13,200"
percent women,FI,1.13,2022,32%
total employment,FR,1.13,2022,"666,000"
percent women,FR,1.13,2022,30.5%
total employment,HR,1.13,2022,"32,200"
percent women,HR,1.13,2022,17.7%
total employment,HU,1.13,2022,"108,900"
percent women,HU,1.13,2022,31.7%
total employment,IE,1.13,2022,"94,100"
percent women,IE,1.13,2022,36.7%
total employment,IT,1.13,2022,"314,700"
percent women,IT,1.13,2022,21%
total employment,LT,1.13,2022,"32,400"
percent women,LT,1.13,2022,28.4%
total employment,LU,1.13,2022,"2,200"
percent women,LU,1.13,2022,35.1%
total employment,LV,1.13,2022,"22,500"
percent women,LV,1.13,2022,38.5%
total employment,NL,1.13,2022,"218,700"
percent women,NL,1.13,2022,26%
total employment,PL,1.13,2022,"310,100"
percent women,PL,1.13,2022,30.6%
total employment,PT,1.13,2022,"110,100"
percent women,PT,1.13,2022,34.1%
total employment,RO,1.13,2022,"63,500"
percent women,RO,1.13,2022,16.6%
total employment,SE,1.13,2022,"157,900"
percent women,SE,1.13,2022,42%
total employment,SI,1.13,2022,"17,000"
percent women,SI,1.13,2022,22.9%
total employment,SK,1.13,2022,"64,500"
percent women,SK,1.13,2022,36.5%
total employment,EU,8,2022,"15,391,100"
percent women,EU,8,2022,18.2%
percent unemployed,EU,8,2022,3.1%
relative income,EU,8,2020,100%
total employment,AT,8,2022,"231,900"
percent women,AT,8,2022,14.3%
total employment,BE,8,2022,"327,000"
percent women,BE,8,2022,14%
total employment,BG,8,2022,"431,300"
percent women,BG,8,2022,23.8%
total employment,CY,8,2022,"18,100"
percent women,CY,8,2022,12%
total employment,CZ,8,2022,"685,600"
percent women,CZ,8,2022,26.1%
total employment,DE,8,2022,"2,589,400"
percent women,DE,8,2022,15.4%
total employment,DK,8,2022,"150,900"
percent women,DK,8,2022,13.3%
total employment,EE,8,2022,"73,500"
percent women,EE,8,2022,21.4%
total employment,EL,8,2022,"282,400"
percent women,EL,8,2022,9.4%
total employment,ES,8,2022,"1,584,100"
percent women,ES,8,2022,14%
total employment,FI,8,2022,"191,400"
percent women,FI,8,2022,15.4%
total employment,FR,8,2022,"1,817,500"
percent women,FR,8,2022,19.6%
total employment,HR,8,2022,"174,800"
percent women,HR,8,2022,24.5%
total employment,HU,8,2022,"638,800"
percent women,HU,8,2022,30.3%
total employment,IE,8,2022,"143,300"
percent women,IE,8,2022,14.7%
total employment,IT,8,2022,"1,616,400"
percent women,IT,8,2022,18.1%
total employment,LT,8,2022,"138,700"
percent women,LT,8,2022,15.7%
total employment,LU,8,2022,"10,900"
percent women,LU,8,2022,6.7%
total employment,LV,8,2022,"84,400"
percent women,LV,8,2022,7.9%
total employment,MT,8,2022,"14,700"
percent women,MT,8,2022,21.8%
total employment,NL,8,2022,"374,900"
percent women,NL,8,2022,12.2%
total employment,PL,8,2022,"1,636,300"
percent women,PL,8,2022,15.5%
total employment,PT,8,2022,"428,400"
percent women,PT,8,2022,33.1%
total employment,RO,8,2022,"1,047,600"
percent women,RO,8,2022,19.4%
total employment,SE,8,2022,"283,900"
percent women,SE,8,2022,14.2%
total employment,SI,8,2022,"77,400"
percent women,SI,8,2022,19.3%
total employment,SK,8,2022,"337,500"
percent women,SK,8,2022,25.3%
total employment,EU,8.82,2022,"1,835,000"
percent women,EU,8.82,2022,38.2%
percent unemployed,EU,8.82,2022,3.2%
relative income,EU,8.82,2020,94.8%
total employment,AT,8.82,2022,"20,300"
percent women,AT,8.82,2022,30.6%
total employment,BE,8.82,2022,"34,100"
percent women,BE,8.82,2022,20.7%
total employment,BG,8.82,2022,"46,000"
percent women,BG,8.82,2022,37%
total employment,CZ,8.82,2022,"146,700"
percent women,CZ,8.82,2022,48.7%
total employment,DE,8.82,2022,"349,700"
percent women,DE,8.82,2022,31.2%
total employment,DK,8.82,2022,"15,300"
percent women,DK,8.82,2022,21.4%
total employment,EE,8.82,2022,"8,200"
percent women,EE,8.82,2022,60.3%
total employment,ES,8.82,2022,"141,500"
percent women,ES,8.82,2022,27.9%
total employment,FI,8.82,2022,"13,000"
percent women,FI,8.82,2022,40.5%
total employment,FR,8.82,2022,"141,500"
percent women,FR,8.82,2022,32.6%
total employment,HR,8.82,2022,"12,800"
percent women,HR,8.82,2022,37.3%
total employment,HU,8.82,2022,"171,700"
percent women,HU,8.82,2022,55.7%
total employment,IE,8.82,2022,"31,000"
percent women,IE,8.82,2022,35.3%
total employment,IT,8.82,2022,"196,900"
percent women,IT,8.82,2022,36.5%
total employment,LT,8.82,2022,"11,600"
percent women,LT,8.82,2022,58.5%
total employment,LV,8.82,2022,"5,800"
total employment,NL,8.82,2022,"21,600"
percent women,NL,8.82,2022,27.2%
total employment,PL,8.82,2022,"147,500"
percent women,PL,8.82,2022,38.1%
total employment,PT,8.82,2022,"25,500"
percent women,PT,8.82,2022,61%
total employment,RO,8.82,2022,"144,800"
percent women,RO,8.82,2022,45%
total employment,SE,8.82,2022,"37,900"
percent women,SE,8.82,2022,26.9%
total employment,SI,8.82,2022,"13,800"
percent women,SI,8.82,2022,49.1%
total employment,SK,8.82,2022,"94,000"
percent women,SK,8.82,2022,41.3%
total employment,EU,8.83,2022,"8,491,800"
percent women,EU,8.83,2022,4.6%
percent unemployed,EU,8.83,2022,3%
relative income,EU,8.83,2020,101.5%
total employment,AT,8.83,2022,"147,800"
percent women,AT,8.83,2022,6.9%
total employment,BE,8.83,2022,"175,500"
percent women,BE,8.83,2022,6.5%
total employment,BG,8.83,2022,"245,100"
percent women,BG,8.83,2022,2.6%
total employment,CY,8.83,2022,"14,200"
total employment,CZ,8.83,2022,"345,900"
percent women,CZ,8.83,2022,8.2%
total employment,DE,8.83,2022,"1,254,800"
percent women,DE,8.83,2022,7.2%
total employment,DK,8.83,2022,"87,900"
percent women,DK,8.83,2022,6.4%
total employment,EE,8.83,2022,"43,300"
percent women,EE,8.83,2022,3.1%
total employment,EL,8.83,2022,"214,200"
percent women,EL,8.83,2022,2.2%
total employment,ES,8.83,2022,"1,010,600"
percent women,ES,8.83,2022,4%
total employment,FI,8.83,2022,"119,400"
percent women,FI,8.83,2022,5.7%
total employment,FR,8.83,2022,"1,047,300"
percent women,FR,8.83,2022,6.7%
total employment,HR,8.83,2022,"97,800"
percent women,HR,8.83,2022,1.1%
total employment,HU,8.83,2022,"262,600"
percent women,HU,8.83,2022,2.9%
total employment,IE,8.83,2022,"81,400"
total employment,IT,8.83,2022,"741,400"
percent women,IT,8.83,2022,2.1%
total employment,LT,8.83,2022,"93,200"
percent women,LT,8.83,2022,3%
total employment,LU,8.83,2022,"8,900"
percent women,LU,8.83,2022,5.7%
total employment,LV,8.83,2022,"64,100"
total employment,NL,8.83,2022,"272,400"
percent women,NL,8.83,2022,8.4%
total employment,PL,8.83,2022,"974,600"
percent women,PL,8.83,2022,2.5%
total employment,PT,8.83,2022,"219,000"
percent women,PT,8.83,2022,3.7%
total employment,RO,8.83,2022,"616,900"
total employment,SE,8.83,2022,"182,400"
percent women,SE,8.83,2022,9.4%
total employment,SI,8.83,2022,"35,300"
total employment,SK,8.83,2022,"135,900"
total employment,EU,8.81,2022,"5,045,500"
percent women,EU,8.81,2022,33.7%
percent unemployed,EU,8.81,2022,3.4%
relative income,EU,8.81,2020,99.1%
total employment,AT,8.81,2022,"63,800"
percent women,AT,8.81,2022,26.5%
total employment,BE,8.81,2022,"117,400"
percent women,BE,8.81,2022,23.3%
total employment,BG,8.81,2022,"140,200"
percent women,BG,8.81,2022,56.6%
total employment,CY,8.81,2022,"3,800"
percent women,CY,8.81,2022,46.7%
total employment,CZ,8.81,2022,"193,000"
percent women,CZ,8.81,2022,41%
total employment,DE,8.81,2022,"984,900"
percent women,DE,8.81,2022,20.3%
total employment,DK,8.81,2022,"47,700"
percent women,DK,8.81,2022,23.4%
total employment,EE,8.81,2022,"22,000"
percent women,EE,8.81,2022,43%
total employment,EL,8.81,2022,"64,500"
percent women,EL,8.81,2022,32%
total employment,ES,8.81,2022,"431,900"
percent women,ES,8.81,2022,32.9%
total employment,FI,8.81,2022,"59,000"
percent women,FI,8.81,2022,29.5%
total employment,FR,8.81,2022,"627,900"
percent women,FR,8.81,2022,38%
total employment,HR,8.81,2022,"64,200"
percent women,HR,8.81,2022,57.6%
total employment,HU,8.81,2022,"204,500"
percent women,HU,8.81,2022,44%
total employment,IE,8.81,2022,"30,900"
percent women,IE,8.81,2022,25.9%
total employment,IT,8.81,2022,"678,100"
percent women,IT,8.81,2022,30.2%
total employment,LT,8.81,2022,"33,900"
percent women,LT,8.81,2022,35.8%
total employment,LU,8.81,2022,"1,900"
total employment,LV,8.81,2022,"14,500"
total employment,NL,8.81,2022,"80,200"
percent women,NL,8.81,2022,20.8%
total employment,PL,8.81,2022,"513,800"
percent women,PL,8.81,2022,33.7%
total employment,PT,8.81,2022,"184,000"
percent women,PT,8.81,2022,64.1%
total employment,RO,8.81,2022,"285,900"
percent women,RO,8.81,2022,46%
total employment,SE,8.81,2022,"63,600"
percent women,SE,8.81,2022,20.6%
total employment,SI,8.81,2022,"28,200"
percent women,SI,8.81,2022,25.8%
total employment,SK,8.81,2022,"105,600"
percent women,SK,8.81,2022,39.4%
total employment,EU,2,2022,"43,904,700"
percent women,EU,2,2022,53.9%
percent unemployed,EU,2,2022,1.5%
relative income,EU,2,2020,100%
total employment,AT,2,2022,"934,200"
percent women,AT,2,2022,53.6%
total employment,BE,2,2022,"1,231,900"
percent women,BE,2,2022,55.3%
total employment,BG,2,2022,"559,900"
percent women,BG,2,2022,65%
total employment,CY,2,2022,"95,200"
percent women,CY,2,2022,56.3%
total employment,CZ,2,2022,"958,000"
percent women,CZ,2,2022,53.2%
total employment,DE,2,2022,"9,555,900"
percent women,DE,2,2022,49.4%
total employment,DK,2,2022,"835,300"
percent women,DK,2,2022,55.6%
total employment,EE,2,2022,"166,400"
percent women,EE,2,2022,65.3%
total employment,EL,2,2022,"925,000"
percent women,EL,2,2022,55.9%
total employment,ES,2,2022,"3,863,900"
percent women,ES,2,2022,58.1%
total employment,FI,2,2022,"690,000"
percent women,FI,2,2022,48.5%
total employment,FR,2,2022,"6,631,400"
percent women,FR,2,2022,50.9%
total employment,HR,2,2022,"300,800"
percent women,HR,2,2022,62.1%
total employment,HU,2,2022,"886,600"
percent women,HU,2,2022,52.2%
total employment,IE,2,2022,"657,000"
percent women,IE,2,2022,52.7%
total employment,IT,2,2022,"3,476,100"
percent women,IT,2,2022,54.4%
total employment,LT,2,2022,"390,000"
percent women,LT,2,2022,67%
total employment,LU,2,2022,"136,200"
percent women,LU,2,2022,48.1%
total employment,LV,2,2022,"184,700"
percent women,LV,2,2022,63%
total employment,MT,2,2022,"57,900"
percent women,MT,2,2022,52%
total employment,NL,2,2022,"2,958,000"
percent women,NL,2,2022,47.8%
total employment,PL,2,2022,"3,528,900"
percent women,PL,2,2022,62.2%
total employment,PT,2,2022,"1,060,500"
percent women,PT,2,2022,58%
total employment,RO,2,2022,"1,420,600"
percent women,RO,2,2022,58.8%
total employment,SE,2,2022,"1,723,400"
percent women,SE,2,2022,55.8%
total employment,SI,2,2022,"265,400"
percent women,SI,2,2022,58.3%
total employment,SK,2,2022,"411,500"
percent women,SK,2,2022,60.6%
total employment,EU,2.22,2022,"5,993,400"
percent women,EU,2.22,2022,70.4%
percent unemployed,EU,2.22,2022,0.7%
relative income,EU,2.22,2020,96.9%
total employment,AT,2.22,2022,"187,300"
percent women,AT,2.22,2022,73.1%
total employment,BE,2.22,2022,"203,600"
percent women,BE,2.22,2022,70.1%
total employment,BG,2.22,2022,"88,900"
percent women,BG,2.22,2022,78.3%
total employment,CY,2.22,2022,"14,000"
percent women,CY,2.22,2022,60.6%
total employment,CZ,2.22,2022,"136,700"
percent women,CZ,2.22,2022,76.7%
total employment,DE,2.22,2022,"1,044,700"
percent women,DE,2.22,2022,63.2%
total employment,DK,2.22,2022,"145,300"
percent women,DK,2.22,2022,81.9%
total employment,EE,2.22,2022,"17,500"
percent women,EE,2.22,2022,89.4%
total employment,EL,2.22,2022,"190,000"
percent women,EL,2.22,2022,60.6%
total employment,ES,2.22,2022,"731,000"
percent women,ES,2.22,2022,74.1%
total employment,FI,2.22,2022,"42,900"
percent women,FI,2.22,2022,67.4%
total employment,FR,2.22,2022,"814,100"
percent women,FR,2.22,2022,66%
total employment,HR,2.22,2022,"33,300"
percent women,HR,2.22,2022,76%
total employment,HU,2.22,2022,"69,100"
percent women,HU,2.22,2022,69.4%
total employment,IE,2.22,2022,"116,500"
percent women,IE,2.22,2022,78.4%
total employment,IT,2.22,2022,"354,500"
percent women,IT,2.22,2022,48.4%
total employment,LT,2.22,2022,"54,800"
percent women,LT,2.22,2022,86.6%
total employment,LU,2.22,2022,"8,200"
percent women,LU,2.22,2022,66.2%
total employment,LV,2.22,2022,"23,600"
percent women,LV,2.22,2022,86%
total employment,NL,2.22,2022,"367,400"
percent women,NL,2.22,2022,72.2%
total employment,PL,2.22,2022,"569,200"
percent women,PL,2.22,2022,82%
total employment,PT,2.22,2022,"187,800"
percent women,PT,2.22,2022,75%
total employment,RO,2.22,2022,"231,300"
percent women,RO,2.22,2022,82%
total employment,SE,2.22,2022,"274,400"
percent women,SE,2.22,2022,74.8%
total employment,SI,2.22,2022,"35,300"
percent women,SI,2.22,2022,76.3%
total employment,SK,2.22,2022,"52,000"
percent women,SK,2.22,2022,68.1%
total employment,EU,2.25,2022,"4,606,500"
percent women,EU,2.25,2022,18.4%
percent unemployed,EU,2.25,2022,1.2%
relative income,EU,2.25,2020,117.6%
total employment,AT,2.25,2022,"119,600"
percent women,AT,2.25,2022,16.3%
total employment,BE,2.25,2022,"156,700"
percent women,BE,2.25,2022,16%
total employment,BG,2.25,2022,"64,500"
percent women,BG,2.25,2022,31.1%
total employment,CY,2.25,2022,"10,100"
percent women,CY,2.25,2022,27.8%
total employment,CZ,2.25,2022,"114,000"
percent women,CZ,2.25,2022,15.3%
total employment,DE,2.25,2022,"994,800"
percent women,DE,2.25,2022,17.6%
total employment,DK,2.25,2022,"93,800"
percent women,DK,2.25,2022,18.7%
total employment,EE,2.25,2022,"28,300"
percent women,EE,2.25,2022,25.8%
total employment,EL,2.25,2022,"41,500"
percent women,EL,2.25,2022,20.1%
total employment,ES,2.25,2022,"224,300"
percent women,ES,2.25,2022,18.2%
total employment,FI,2.25,2022,"105,400"
percent women,FI,2.25,2022,27.6%
total employment,FR,2.25,2022,"769,400"
percent women,FR,2.25,2022,17.8%
total employment,HR,2.25,2022,"25,700"
percent women,HR,2.25,2022,15.2%
total employment,HU,2.25,2022,"109,300"
percent women,HU,2.25,2022,12.2%
total employment,IE,2.25,2022,"89,300"
percent women,IE,2.25,2022,20.7%
total employment,IT,2.25,2022,"219,600"
percent women,IT,2.25,2022,18.1%
total employment,LT,2.25,2022,"37,600"
percent women,LT,2.25,2022,23.8%
total employment,LU,2.25,2022,"15,100"
percent women,LU,2.25,2022,20.1%
total employment,LV,2.25,2022,"28,300"
total employment,NL,2.25,2022,"446,900"
percent women,NL,2.25,2022,16.2%
total employment,PL,2.25,2022,"329,300"
percent women,PL,2.25,2022,16.4%
total employment,PT,2.25,2022,"115,600"
percent women,PT,2.25,2022,19.3%
total employment,RO,2.25,2022,"108,400"
percent women,RO,2.25,2022,27.6%
total employment,SE,2.25,2022,"284,300"
percent women,SE,2.25,2022,23.8%
total employment,SI,2.25,2022,"24,300"
percent women,SI,2.25,2022,18%
total employment,SK,2.25,2022,"50,400"
percent women,SK,2.25,2022,14.3%
total employment,EU,2.26,2022,"6,097,700"
percent women,EU,2.26,2022,60.9%
percent unemployed,EU,2.26,2022,1.9%
relative income,EU,2.26,2020,88.5%
total employment,AT,2.26,2022,"135,400"
percent women,AT,2.26,2022,59.5%
total employment,BE,2.26,2022,"188,600"
percent women,BE,2.26,2022,66.8%
total employment,BG,2.26,2022,"85,500"
percent women,BG,2.26,2022,62.7%
total employment,CY,2.26,2022,"14,600"
percent women,CY,2.26,2022,60.6%
total employment,CZ,2.26,2022,"120,200"
percent women,CZ,2.26,2022,54.3%
total employment,DE,2.26,2022,"1,436,700"
percent women,DE,2.26,2022,59.1%
total employment,DK,2.26,2022,"89,600"
percent women,DK,2.26,2022,62.5%
total employment,EE,2.26,2022,"20,700"
percent women,EE,2.26,2022,65.7%
total employment,EL,2.26,2022,"114,200"
percent women,EL,2.26,2022,52.2%
total employment,ES,2.26,2022,"612,600"
percent women,ES,2.26,2022,58.8%
total employment,FI,2.26,2022,"92,600"
percent women,FI,2.26,2022,63.2%
total employment,FR,2.26,2022,"862,200"
percent women,FR,2.26,2022,66.8%
total employment,HR,2.26,2022,"65,300"
percent women,HR,2.26,2022,66.7%
total employment,HU,2.26,2022,"144,700"
percent women,HU,2.26,2022,58.3%
total employment,IE,2.26,2022,"55,300"
percent women,IE,2.26,2022,53.8%
total employment,IT,2.26,2022,"533,500"
percent women,IT,2.26,2022,53.3%
total employment,LT,2.26,2022,"45,700"
percent women,LT,2.26,2022,69.1%
total employment,LU,2.26,2022,"25,100"
percent women,LU,2.26,2022,57.2%
total employment,LV,2.26,2022,"18,100"
percent women,LV,2.26,2022,77.1%
total employment,NL,2.26,2022,"402,700"
percent women,NL,2.26,2022,62.4%
total employment,PL,2.26,2022,"371,300"
percent women,PL,2.26,2022,61.7%
total employment,PT,2.26,2022,"157,900"
percent women,PT,2.26,2022,64.9%
total employment,RO,2.26,2022,"169,100"
percent women,RO,2.26,2022,59.8%
total employment,SE,2.26,2022,"231,700"
percent women,SE,2.26,2022,63.5%
total employment,SI,2.26,2022,"37,100"
percent women,SI,2.26,2022,67.5%
total employment,SK,2.26,2022,"67,500"
percent women,SK,2.26,2022,70%
total employment,EU,2.24,2022,"8,883,600"
percent women,EU,2.24,2022,52.7%
percent unemployed,EU,2.24,2022,1.7%
relative income,EU,2.24,2020,113.3%
total employment,AT,2.24,2022,"136,500"
percent women,AT,2.24,2022,53.1%
total employment,BE,2.24,2022,"207,900"
percent women,BE,2.24,2022,45.8%
total employment,BG,2.24,2022,"131,400"
percent women,BG,2.24,2022,75.6%
total employment,CY,2.24,2022,"15,800"
percent women,CY,2.24,2022,55.8%
total employment,CZ,2.24,2022,"181,700"
percent women,CZ,2.24,2022,52.3%
total employment,DE,2.24,2022,"1,701,100"
percent women,DE,2.24,2022,45.5%
total employment,DK,2.24,2022,"200,100"
percent women,DK,2.24,2022,48.8%
total employment,EE,2.24,2022,"40,800"
percent women,EE,2.24,2022,77%
total employment,EL,2.24,2022,"146,200"
percent women,EL,2.24,2022,51.4%
total employment,ES,2.24,2022,"491,800"
percent women,ES,2.24,2022,55.5%
total employment,FI,2.24,2022,"149,800"
percent women,FI,2.24,2022,54.1%
total employment,FR,2.24,2022,"1,612,400"
percent women,FR,2.24,2022,49.1%
total employment,HR,2.24,2022,"35,100"
percent women,HR,2.24,2022,66.3%
total employment,HU,2.24,2022,"146,500"
percent women,HU,2.24,2022,58.4%
total employment,IE,2.24,2022,"172,600"
percent women,IE,2.24,2022,53.7%
total employment,IT,2.24,2022,"517,500"
percent women,IT,2.24,2022,44.4%
total employment,LT,2.24,2022,"139,100"
percent women,LT,2.24,2022,72%
total employment,LU,2.24,2022,"55,000"
percent women,LU,2.24,2022,46.4%
total employment,LV,2.24,2022,"42,600"
percent women,LV,2.24,2022,66.5%
total employment,NL,2.24,2022,"861,500"
percent women,NL,2.24,2022,46.5%
total employment,PL,2.24,2022,"913,400"
percent women,PL,2.24,2022,66.1%
total employment,PT,2.24,2022,"180,800"
percent women,PT,2.24,2022,57.3%
total employment,RO,2.24,2022,"333,000"
percent women,RO,2.24,2022,67.5%
total employment,SE,2.24,2022,"373,400"
percent women,SE,2.24,2022,55.6%
total employment,SI,2.24,2022,"43,500"
percent women,SI,2.24,2022,59.6%
total employment,SK,2.24,2022,"54,200"
percent women,SK,2.24,2022,65.9%
total employment,EU,2.21,2022,"7,251,600"
percent women,EU,2.21,2022,30.5%
percent unemployed,EU,2.21,2022,1.6%
relative income,EU,2.21,2020,112.9%
total employment,AT,2.21,2022,"137,700"
percent women,AT,2.21,2022,28.9%
total employment,BE,2.21,2022,"152,600"
percent women,BE,2.21,2022,36.1%
total employment,BG,2.21,2022,"73,000"
percent women,BG,2.21,2022,36.3%
total employment,CY,2.21,2022,"18,300"
percent women,CY,2.21,2022,39.7%
total employment,CZ,2.21,2022,"162,500"
percent women,CZ,2.21,2022,24.8%
total employment,DE,2.21,2022,"1,846,700"
percent women,DE,2.21,2022,25.8%
total employment,DK,2.21,2022,"95,600"
percent women,DK,2.21,2022,41.2%
total employment,EE,2.21,2022,"23,000"
percent women,EE,2.21,2022,41.2%
total employment,EL,2.21,2022,"137,400"
percent women,EL,2.21,2022,33.3%
total employment,ES,2.21,2022,"603,300"
percent women,ES,2.21,2022,32.5%
total employment,FI,2.21,2022,"173,000"
percent women,FI,2.21,2022,24.3%
total employment,FR,2.21,2022,"1,173,200"
percent women,FR,2.21,2022,35.4%
total employment,HR,2.21,2022,"54,500"
percent women,HR,2.21,2022,36.3%
total employment,HU,2.21,2022,"176,400"
percent women,HU,2.21,2022,27.5%
total employment,IE,2.21,2022,"106,900"
percent women,IE,2.21,2022,27.6%
total employment,IT,2.21,2022,"568,000"
percent women,IT,2.21,2022,32.6%
total employment,LT,2.21,2022,"45,700"
percent women,LT,2.21,2022,32.1%
total employment,LU,2.21,2022,"13,700"
percent women,LU,2.21,2022,31.9%
total employment,LV,2.21,2022,"23,800"
percent women,LV,2.21,2022,30%
total employment,NL,2.21,2022,"364,500"
percent women,NL,2.21,2022,26.1%
total employment,PL,2.21,2022,"514,300"
percent women,PL,2.21,2022,33.5%
total employment,PT,2.21,2022,"170,700"
percent women,PT,2.21,2022,37.1%
total employment,RO,2.21,2022,"296,700"
percent women,RO,2.21,2022,22.9%
total employment,SE,2.21,2022,"219,100"
percent women,SE,2.21,2022,38%
